"Time (s)"	"Latitude (°)"	"Longitude (°)"	"Height (m)"	"Velocity (m/s)"	"Direction (°)"	"Horizontal Accuracy (m)"	"Vertical Accuracy (m)"
5.426218442E1	5.028588907E1	7.606133809E0	1.559204459E2	1.752999878E1	2.596000061E2	2.000000000E0	1.000000000E2
5.525868469E1	5.028585634E1	7.605901295E0	1.569204395E2	1.722999954E1	2.568999939E2	2.000000000E0	1.000000000E2
5.624041800E1	5.028581053E1	7.605675068E0	1.589204210E2	1.648999977E1	2.521999969E2	2.000000000E0	1.000000000E2
5.725888588E1	5.028575944E1	7.605459234E0	1.599203968E2	1.637999916E1	2.493000031E2	2.000000000E0	1.000000000E2
5.828220565E1	5.028570270E1	7.605250692E0	1.609203669E2	1.582999992E1	2.470000000E2	2.000000000E0	1.000000000E2
5.928899173E1	5.028565052E1	7.605054723E0	1.609203398E2	1.413999939E1	2.473999939E2	2.000000000E0	1.000000000E2
6.027525946E1	5.028559897E1	7.604868812E0	1.619203123E2	1.400000000E1	2.483000031E2	2.000000000E0	1.000000000E2
6.127946388E1	5.028555689E1	7.604678124E0	1.619202936E2	1.417999935E1	2.508999939E2	2.000000000E0	1.000000000E2
6.227387288E1	5.028552001E1	7.604484502E0	1.629202798E2	1.444999981E1	2.521000061E2	2.000000000E0	1.000000000E2
6.327606853E1	5.028548825E1	7.604291048E0	1.629202705E2	1.442999935E1	2.551000061E2	2.000000000E0	1.000000000E2
6.427826665E1	5.028545958E1	7.604099186E0	1.649202637E2	1.439999962E1	2.563999939E2	1.500000000E0	1.000000000E2
6.527349665E1	5.028543481E1	7.603900200E0	1.659202611E2	1.436999989E1	2.587000122E2	1.500000000E0	1.000000000E2
6.628439122E1	5.028541763E1	7.603667099E0	1.669202685E2	1.805999947E1	2.600000000E2	2.000000000E0	1.000000000E2
6.724250949E1	5.028539634E1	7.603378762E0	1.689202776E2	2.302999878E1	2.601000061E2	2.000000000E0	1.000000000E2
6.827889299E1	5.028536340E1	7.603027141E0	1.709202825E2	2.697999954E1	2.602999878E2	2.000000000E0	1.000000000E2
6.924461506E1	5.028531834E1	7.602623887E0	1.729202817E2	3.067999840E1	2.602000122E2	2.000000000E0	1.000000000E2
7.025108083E1	5.028527069E1	7.602188531E0	1.749202817E2	3.213999939E1	2.600000000E2	1.500000000E0	1.000000000E2
7.127031576E1	5.028522610E1	7.601785697E0	1.779202812E2	2.868000031E1	2.602999878E2	2.000000000E0	1.000000000E2
7.228602537E1	5.028518620E1	7.601397783E0	1.799202835E2	2.817000008E1	2.606000061E2	1.500000000E0	1.000000000E2
7.328479864E1	5.028513813E1	7.601015735E0	1.809202779E2	2.750000000E1	2.572000122E2	1.500000000E0	1.000000000E2
7.428942133E1	5.028505905E1	7.600629916E0	1.819202453E2	2.878999901E1	2.481999969E2	1.500000000E0	1.000000000E2
7.527608491E1	5.028493772E1	7.600264885E0	1.829201733E2	2.818999863E1	2.391000061E2	2.000000000E0	1.000000000E2
7.628221433E1	5.028480998E1	7.599931955E0	1.839200925E2	2.669999886E1	2.380000000E2	1.500000000E0	1.000000000E2
7.724190194E1	5.028469088E1	7.599610845E0	1.839200182E2	2.654999924E1	2.413000031E2	1.500000000E0	1.000000000E2
7.824061783E1	5.028458304E1	7.599276323E0	1.849199551E2	2.730999947E1	2.446999969E2	1.500000000E0	1.000000000E2
7.927052971E1	5.028449172E1	7.598925037E0	1.849199082E2	2.731999969E1	2.481000061E2	1.500000000E0	1.000000000E2
8.027505529E1	5.028439931E1	7.598575177E0	1.859198602E2	2.730999947E1	2.493000031E2	1.500000000E0	1.000000000E2
8.127941990E1	5.028431109E1	7.598215258E0	1.869198169E2	2.718999863E1	2.493000031E2	1.500000000E0	1.000000000E2
8.223764971E1	5.028422455E1	7.597864391E0	1.879197742E2	2.695999908E1	2.493999939E2	1.000000000E0	1.000000000E2
8.323331140E1	5.028413880E1	7.597512268E0	1.879197322E2	2.657999992E1	2.493000031E2	1.000000000E0	1.000000000E2
8.423918202E1	5.028405163E1	7.597166849E0	1.879196884E2	2.622999954E1	2.491000061E2	1.000000000E0	1.000000000E2
8.527247313E1	5.028396316E1	7.596820593E0	1.899196434E2	2.618000031E1	2.481000061E2	1.000000000E0	1.000000000E2
8.627577059E1	5.028386970E1	7.596476683E0	1.909195938E2	2.612999916E1	2.486999969E2	1.500000000E0	1.000000000E2
8.728337667E1	5.028377427E1	7.596137468E0	1.929195420E2	2.580999947E1	2.458999939E2	1.500000000E0	1.000000000E2
8.828051978E1	5.028368115E1	7.595806466E0	1.949194914E2	2.538999939E1	2.471000061E2	1.500000000E0	1.000000000E2
8.924713694E1	5.028358413E1	7.595486362E0	1.969194363E2	2.504999924E1	2.425000000E2	1.500000000E0	1.000000000E2
9.025892228E1	5.028347973E1	7.595178578E0	1.979193735E2	2.480999947E1	2.426999969E2	1.500000000E0	1.000000000E2
9.124819301E1	5.028338007E1	7.594872219E0	1.999193147E2	2.467000008E1	2.426000061E2	1.500000000E0	1.000000000E2
9.227481205E1	5.028327865E1	7.594562089E0	2.019192547E2	2.470999908E1	2.438999939E2	1.000000000E0	1.000000000E2
9.326108036E1	5.028318875E1	7.594245421E0	2.029192055E2	2.534000015E1	2.483000031E2	1.500000000E0	1.000000000E2
9.425845197E1	5.028312099E1	7.593904445E0	2.049191782E2	2.584000015E1	2.548999939E2	1.500000000E0	1.000000000E2
9.525313305E1	5.028307681E1	7.593551651E0	2.069191730E2	2.564999962E1	2.601000061E2	1.500000000E0	1.000000000E2
9.627937674E1	5.028304538E1	7.593204137E0	2.089191786E2	2.526000023E1	2.641000061E2	1.500000000E0	1.000000000E2
9.726807054E1	5.028302535E1	7.592855785E0	2.109191943E2	2.510999870E1	2.657999878E2	1.500000000E0	1.000000000E2
9.825828639E1	5.028301148E1	7.592497794E0	2.119192164E2	2.546999931E1	2.657999878E2	1.500000000E0	1.000000000E2
9.925753493E1	5.028299295E1	7.592143994E0	2.139192340E2	2.526999855E1	2.648999939E2	1.000000000E0	1.000000000E2
1.002432530E2	5.028296257E1	7.591788685E0	2.159192412E2	2.520999908E1	2.602000122E2	1.500000000E0	1.000000000E2
1.012432332E2	5.028290725E1	7.591443602E0	2.179192253E2	2.511999893E1	2.545000000E2	1.500000000E0	1.000000000E2
1.022560027E2	5.028284694E1	7.591103716E0	2.199192045E2	2.529999924E1	2.563999939E2	1.500000000E0	1.000000000E2
1.032606086E2	5.028279921E1	7.590752011E0	2.229191959E2	2.559999847E1	2.602000122E2	1.500000000E0	1.000000000E2
1.042851539E2	5.028277029E1	7.590394774E0	2.249192046E2	2.607999992E1	2.640000000E2	1.500000000E0	1.000000000E2
1.052795420E2	5.028275365E1	7.590033095E0	2.269192245E2	2.585999870E1	2.672999878E2	1.500000000E0	1.000000000E2
1.062771849E2	5.028274523E1	7.589671919E0	2.299192518E2	2.573999977E1	2.691000061E2	1.500000000E0	1.000000000E2
1.072806314E2	5.028274321E1	7.589303618E0	2.319192853E2	2.550000000E1	2.705000000E2	1.500000000E0	1.000000000E2
1.082746230E2	5.028274212E1	7.588940179E0	2.339193193E2	2.530999947E1	2.698999939E2	1.500000000E0	1.000000000E2
1.092689758E2	5.028274531E1	7.588581685E0	2.359193565E2	2.521999931E1	2.692000122E2	1.500000000E0	1.000000000E2
1.102749232E2	5.028274556E1	7.588227382E0	2.379193908E2	2.542000008E1	2.693999939E2	1.000000000E0	1.000000000E2
1.112586499E2	5.028274267E1	7.587866122E0	2.409194229E2	2.565999985E1	2.698999939E2	1.000000000E0	1.000000000E2
1.122594263E2	5.028274091E1	7.587502431E0	2.429194563E2	2.580999947E1	2.698999939E2	1.000000000E0	1.000000000E2
1.132888352E2	5.028273768E1	7.587138237E0	2.449194884E2	2.530999947E1	2.697999878E2	1.500000000E0	1.000000000E2
1.143028483E2	5.028273311E1	7.586791981E0	2.469195176E2	2.381999969E1	2.692000122E2	1.500000000E0	1.000000000E2
1.152725802E2	5.028273031E1	7.586470703E0	2.489195459E2	2.161999893E1	2.687999878E2	1.500000000E0	1.000000000E2
1.162928751E2	5.028273450E1	7.586170463E0	2.499195785E2	2.145999908E1	2.715000000E2	1.500000000E0	1.000000000E2
1.172915145E2	5.028275273E1	7.585870475E0	2.509196235E2	2.222999954E1	2.782999878E2	1.500000000E0	1.000000000E2
1.182791353E2	5.028279439E1	7.585565709E0	2.519196898E2	2.246999931E1	2.837999878E2	2.000000000E0	1.000000000E2
1.192768181E2	5.028285897E1	7.585279299E0	2.529197747E2	2.128999901E1	2.928999939E2	2.000000000E0	1.000000000E2
1.202601521E2	5.028293788E1	7.585040247E0	2.529198678E2	1.869000053E1	2.978999939E2	2.000000000E0	1.000000000E2
1.212828106E2	5.028301424E1	7.584818127E0	2.539199570E2	1.794999886E1	2.947000122E2	2.000000000E0	1.000000000E2
1.222839662E2	5.028304815E1	7.584584355E0	2.549200096E2	1.748999977E1	2.737999878E2	2.500000000E0	1.000000000E2
1.232710801E2	5.028303222E1	7.584342621E0	2.559200186E2	1.861999893E1	2.548000031E2	2.000000000E0	1.000000000E2
1.242516495E2	5.028296211E1	7.584101139E0	2.579199795E2	2.012999916E1	2.368000031E2	2.000000000E0	1.000000000E2
1.252599101E2	5.028284304E1	7.583870469E0	2.599198959E2	2.221999931E1	2.266999969E2	2.500000000E0	1.000000000E2
1.262622388E2	5.028270252E1	7.583642146E0	2.619197929E2	2.240999985E1	2.260000000E2	2.500000000E0	1.000000000E2
1.272698526E2	5.028257671E1	7.583445422E0	2.639196999E2	1.802999878E1	2.268999939E2	2.500000000E0	1.000000000E2
1.282711634E2	5.028248371E1	7.583284406E0	2.659196327E2	1.418999958E1	2.273000031E2	2.500000000E0	1.000000000E2
1.292799533E2	5.028239981E1	7.583147362E0	2.669195713E2	1.369999981E1	2.311000061E2	2.500000000E0	1.000000000E2
1.302767792E2	5.028232978E1	7.582991039E0	2.669195240E2	1.439999962E1	2.425000000E2	2.500000000E0	1.000000000E2
1.312600988E2	5.028228678E1	7.582776966E0	2.679195063E2	1.667000008E1	2.576000061E2	2.500000000E0	1.000000000E2
