"Time (s)"	"Latitude (°)"	"Longitude (°)"	"Height (m)"	"Velocity (m/s)"	"Direction (°)"	"Horizontal Accuracy (m)"	"Vertical Accuracy (m)"
8.363619494E1	5.030362321E1	7.611043761E0	8.993560011E1	1.868000031E1	3.282000122E2	1.500000000E0	1.000000000E2
8.462718959E1	5.030377789E1	7.610914009E0	8.993574966E1	1.934000015E1	3.321000061E2	1.500000000E0	1.000000000E2
8.562734298E1	5.030393392E1	7.610791381E0	9.093589967E1	1.943999863E1	3.340000000E2	1.500000000E0	1.000000000E2
8.662567921E1	5.030409012E1	7.610681076E0	9.093604859E1	1.919999886E1	3.358999939E2	1.500000000E0	1.000000000E2
8.761811505E1	5.030425269E1	7.610584768E0	9.093620171E1	1.886999893E1	3.391000061E2	1.500000000E0	1.000000000E2
8.863650721E1	5.030441563E1	7.610500362E0	9.093635395E1	1.888999939E1	3.412999878E2	1.500000000E0	1.000000000E2
8.962808082E1	5.030457987E1	7.610418303E0	9.093650711E1	1.878999901E1	3.425000000E2	1.500000000E0	1.000000000E2
9.062911340E1	5.030474219E1	7.610342111E0	9.093665797E1	1.860000038E1	3.428999939E2	1.500000000E0	1.000000000E2
9.164136920E1	5.030490606E1	7.610281259E0	8.993680864E1	1.857999992E1	3.477000122E2	1.500000000E0	1.000000000E2
9.262733893E1	5.030507026E1	7.610239601E0	8.893695765E1	1.838999939E1	3.507000122E2	1.000000000E0	1.000000000E2
9.363650316E1	5.030523794E1	7.610204061E0	8.893710911E1	1.836999893E1	3.527999878E2	1.500000000E0	1.000000000E2
9.462960682E1	5.030540637E1	7.610178748E0	8.893726019E1	1.840999985E1	3.551000061E2	1.000000000E0	1.000000000E2
9.561842801E1	5.030557166E1	7.610155949E0	8.793740824E1	1.835000038E1	3.557999878E2	1.500000000E0	1.000000000E2
9.663646128E1	5.030573109E1	7.610145975E0	8.793754981E1	1.725000000E1	3.592000122E2	1.500000000E0	1.000000000E2
9.761452104E1	5.030588489E1	7.610150836E0	8.793768491E1	1.676000023E1	1.399999976E0	1.500000000E0	1.000000000E2
